City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Port-Cartier,CA,2021-10-23 03:08:25,50.0334,-66.8654,46.74,93,100,6.06
93,Yar-Sale,RU,2021-10-23 03:03:51,66.8333,70.8333,26.38,93,83,8.84
94,Namibe,AO,2021-10-23 03:03:51,-15.1961,12.1522,64.47,67,47,8.77
95,Shanghai,CN,2021-10-23 03:06:55,31.2222,121.4581,67.87,49,0,11.18
96,Albany,US,2021-10-23 03:08:16,42.6001,-73.9662,46.45,83,34,3.0
97,Puerto Ayora,EC,2021-10-23 03:08:26,-0.7393,-90.3518,70.0,86,39,7.27
98,Waipawa,NZ,2021-10-23 03:08:27,-41.4122,175.5153,58.3,55,98,12.75
99,Manama,BH,2021-10-23 03:08:27,26.2154,50.5832,80.58,62,0,10.36
100,Hirado,JP,2021-10-23 03:08:28,33.3597,129.5531,68.4,49,50,21.18
101,Muskegon,US,2021-10-23 03:08:28,43.3,-86.1334,46.83,93,90,3.44
102,Esso,RU,2021-10-23 03:03:54,55.9333,158.7,28.02,91,85,3.69
103,Tondano,ID,2021-10-23 03:08:29,1.3038,124.9112,80.69,81,99,2.42
104,Talcahuano,CL,2021-10-23 03:08:29,-36.7167,-73.1167,49.68,71,0,16.11
105,Vostok,RU,2021-10-23 03:08:29,46.4856,135.8833,41.72,58,16,8.23
106,Saint-Leu,RE,2021-10-23 03:03:55,-21.15,55.2833,75.96,82,2,1.52
107,Urumqi,CN,2021-10-23 03:08:30,43.801,87.6005,34.75,87,90,8.95
108,Kavieng,PG,2021-10-23 03:03:56,-2.5744,150.7967,85.03,68,19,13.06
109,Sao Felix Do Xingu,BR,2021-10-23 03:08:30,-6.6447,-51.995,72.75,99,100,1.81
110,Carnarvon,AU,2021-10-23 03:08:31,-24.8667,113.6333,77.07,57,0,21.85
111,Buala,SB,2021-10-23 03:03:57,-8.145,159.5921,85.95,66,26,8.61
112,Port Alfred,ZA,2021-10-23 03:08:31,-33.5906,26.891,61.9,79,16,9.04
113,Batangafo,CF,2021-10-23 03:03:58,7.3008,18.2833,72.0,90,93,3.33
114,Ladario,BR,2021-10-23 03:03:58,-19.0047,-57.6017,81.86,52,31,4.45
115,Teya,RU,2021-10-23 03:03:58,60.3778,92.6267,33.37,74,98,12.75
116,Muroto,JP,2021-10-23 03:08:32,33.2833,134.15,64.78,45,0,8.14
117,Butaritari,KI,2021-10-23 03:08:32,3.0707,172.7902,82.44,77,84,18.28
118,Miramar,US,2021-10-23 03:08:33,25.9873,-80.2323,78.98,94,40,8.05
119,Pevek,RU,2021-10-23 03:08:33,69.7008,170.3133,12.56,90,100,7.11
120,Ourossogui,SN,2021-10-23 03:08:34,15.6064,-13.3211,81.63,15,28,7.92
121,Walvis Bay,NA,2021-10-23 03:04:01,-22.9575,14.5053,56.08,88,0,8.03
122,Turayf,SA,2021-10-23 03:08:34,31.6725,38.6637,64.02,36,0,7.83
123,Ixtapa,MX,2021-10-23 03:08:35,20.7,-105.2,78.28,94,92,1.07
124,Kyaukse,MM,2021-10-23 03:08:35,21.6,96.1333,81.27,77,71,2.3
125,Komsomolskiy,UZ,2021-10-23 03:04:02,40.4272,71.7189,40.42,75,21,4.61
126,Tasiilaq,GL,2021-10-23 03:08:35,65.6145,-37.6368,32.16,92,100,11.36
127,Erdenet,MN,2021-10-23 03:08:36,49.0333,104.0833,39.42,33,1,3.22
128,Yangliuqing,CN,2021-10-23 03:08:36,39.1375,116.9997,57.15,38,78,5.08
129,Novoagansk,RU,2021-10-23 03:08:38,61.9449,76.6625,33.76,96,100,14.27
130,Taoudenni,ML,2021-10-23 03:08:38,22.6783,-3.9836,76.59,28,0,6.02
131,Cherskiy,RU,2021-10-23 03:08:39,68.75,161.3,-0.89,98,99,2.89
132,Ngunguru,NZ,2021-10-23 03:04:05,-35.6167,174.5,61.16,94,100,23.98
133,Klaksvik,FO,2021-10-23 03:07:08,62.2266,-6.589,47.32,85,100,28.9
134,Winnemucca,US,2021-10-23 03:08:40,40.973,-117.7357,50.05,53,1,8.05
135,Oktyabrskiy,RU,2021-10-23 03:04:06,54.4815,53.471,45.75,92,27,12.97
136,Khani,GE,2021-10-23 03:08:40,41.9563,42.9566,36.97,56,0,5.44
137,Tuatapere,NZ,2021-10-23 03:08:41,-46.1333,167.6833,65.89,53,95,5.73
138,Ust-Nera,RU,2021-10-23 03:07:20,64.5667,143.2,11.7,89,91,0.45
139,Nichinan,JP,2021-10-23 03:08:41,31.6,131.3667,66.13,57,85,18.3
140,Santa Cecilia,BR,2021-10-23 03:04:08,-26.9608,-50.4269,51.24,89,0,2.75
141,Azua,DO,2021-10-23 03:08:42,18.4532,-70.7349,71.06,83,49,4.59
142,New Norfolk,AU,2021-10-23 03:08:42,-42.7826,147.0587,56.66,81,100,2.73
143,Thompson,CA,2021-10-23 03:04:09,55.7435,-97.8558,29.43,96,96,3.98
144,Pueblo Nuevo,MX,2021-10-23 03:08:43,23.3833,-105.3833,54.95,94,2,5.23
145,Kavaratti,IN,2021-10-23 03:04:10,10.5669,72.642,81.99,75,36,4.36
146,Aklavik,CA,2021-10-23 03:04:10,68.2191,-135.0107,30.92,92,100,13.82
147,Magadan,RU,2021-10-23 03:04:11,59.5667,150.8,25.47,81,100,15.28
148,Zanzibar,TZ,2021-10-23 03:04:11,-6.1639,39.1979,72.41,86,36,2.28
149,Beloha,MG,2021-10-23 03:07:20,-25.1667,45.05,65.5,82,100,11.12
150,Riyadh,SA,2021-10-23 03:06:00,24.6877,46.7219,68.14,34,3,4.94
151,Chabahar,IR,2021-10-23 03:08:44,25.2919,60.643,78.51,67,0,9.82
152,Iskateley,RU,2021-10-23 03:08:45,67.6803,53.1512,25.03,93,29,7.4
153,Disna,BY,2021-10-23 03:07:32,55.568,28.1971,39.09,85,88,14.99
154,Georgetown,MY,2021-10-23 03:08:45,5.4112,100.3354,85.95,74,20,3.44
155,Igrim,RU,2021-10-23 03:08:45,63.1906,64.4162,36.72,97,100,6.73
156,Jamestown,US,2021-10-23 03:03:55,42.097,-79.2353,45.72,90,90,1.01
157,Ilulissat,GL,2021-10-23 03:08:46,69.2167,-51.1,17.62,53,99,16.11
158,Ouadda,CF,2021-10-23 03:08:46,8.0777,22.4007,67.24,92,73,2.89
159,Clyde River,CA,2021-10-23 03:08:47,70.4692,-68.5914,21.54,76,100,6.2
160,Mbala,ZM,2021-10-23 03:08:47,-8.8402,31.3659,63.09,59,49,2.24
161,Sabang,ID,2021-10-23 03:08:48,5.8933,95.3214,82.09,72,98,3.87
162,Rio Gallegos,AR,2021-10-23 03:04:16,-51.6226,-69.2181,38.16,74,14,38.23
163,Marawi,PH,2021-10-23 03:08:48,7.9986,124.2928,74.64,75,100,3.27
164,Lavrentiya,RU,2021-10-23 03:08:49,65.5833,-171.0,24.08,84,100,12.06
165,Severo-Kurilsk,RU,2021-10-23 03:04:16,50.6789,156.125,41.34,77,56,12.88
166,Puerto Del Rosario,ES,2021-10-23 03:08:49,28.5004,-13.8627,71.35,64,19,23.02
167,Tonantins,BR,2021-10-23 03:04:17,-2.8731,-67.8022,76.68,85,78,2.59
168,Galveston,US,2021-10-23 03:08:50,29.3669,-94.9669,78.96,81,34,10.09
169,Victoria,HK,2021-10-23 03:04:02,22.2855,114.1577,69.33,74,71,1.99
170,Kenai,US,2021-10-23 03:04:18,60.5544,-151.2583,41.14,85,90,9.22
171,Xai-Xai,MZ,2021-10-23 03:08:50,-25.0519,33.6442,68.83,71,12,9.42
172,Alofi,NU,2021-10-23 03:07:38,-19.0595,-169.9187,74.3,61,99,17.02
173,Kirkwall,GB,2021-10-23 03:04:19,58.9848,-2.9587,46.74,82,75,8.05
174,Kargasok,RU,2021-10-23 03:04:20,59.0556,80.8572,35.15,93,100,16.6
175,Kpandae,GH,2021-10-23 03:08:51,8.4689,-0.0113,74.75,91,92,4.18
176,Teknaf,BD,2021-10-23 03:04:21,20.8624,92.3058,80.19,70,100,1.81
177,Rengo,CL,2021-10-23 03:04:21,-34.4167,-70.8667,48.99,67,0,0.4
178,Tiksi,RU,2021-10-23 03:08:52,71.6872,128.8694,4.57,94,100,2.04
179,Sobolevo,RU,2021-10-23 03:08:52,54.4299,31.8996,42.51,71,90,18.57
180,Kloulklubed,PW,2021-10-23 03:08:53,7.0419,134.2556,86.5,70,29,8.55
181,Yakeshi,CN,2021-10-23 03:08:53,49.2833,120.7333,41.23,50,8,11.12
182,Khatanga,RU,2021-10-23 03:08:54,71.9667,102.5,4.21,92,99,12.8
183,Husavik,IS,2021-10-23 03:04:23,66.0449,-17.3389,37.45,91,100,8.97
184,La Palma,US,2021-10-23 03:04:24,33.8464,-118.0467,67.03,83,75,3.0
185,Lagdo,CM,2021-10-23 03:08:54,9.05,13.7333,72.54,92,42,1.99
186,Roswell,US,2021-10-23 03:06:13,34.0232,-84.3616,59.86,90,1,6.91
187,Nouadhibou,MR,2021-10-23 03:08:55,20.931,-17.0347,69.73,79,56,17.58
188,Kimbe,PG,2021-10-23 03:04:25,-5.5502,150.1429,88.11,63,67,3.76
189,Karratha,AU,2021-10-23 03:08:55,-20.7377,116.8463,95.56,19,14,17.76
190,Nanortalik,GL,2021-10-23 03:08:56,60.1432,-45.2371,38.5,96,100,9.28
191,Davila,PH,2021-10-23 03:08:56,18.4726,120.5763,84.38,74,70,21.63
192,Katsuura,JP,2021-10-23 03:08:56,35.1333,140.3,64.51,47,2,17.45
193,Bredasdorp,ZA,2021-10-23 03:08:57,-34.5322,20.0403,56.28,84,100,17.81
194,Schwedt,DE,2021-10-23 03:08:57,53.0596,14.2815,45.64,84,8,16.33
195,Saint Anthony,US,2021-10-23 03:08:57,45.0205,-93.218,42.4,70,90,1.01
196,Sivas,TR,2021-10-23 03:08:58,39.7916,37.0019,32.63,69,0,2.3
197,Agua Branca,BR,2021-10-23 03:08:58,-5.8922,-42.6361,72.64,92,53,4.0
198,Tairua,NZ,2021-10-23 03:08:59,-37.0167,175.85,58.08,74,100,15.97
199,Jadu,LY,2021-10-23 03:08:59,31.953,12.0261,68.83,34,62,18.23
200,Kamenka,RU,2021-10-23 03:04:30,51.3223,42.7678,50.59,67,100,9.15
201,Rurrenabaque,BO,2021-10-23 03:04:31,-14.4413,-67.5278,83.5,56,40,3.91
202,Gonc,HU,2021-10-23 03:09:00,48.4667,21.2833,40.3,81,57,2.64
203,Bouca,CF,2021-10-23 03:07:16,6.5105,18.2733,70.16,91,89,3.13
204,Maragogi,BR,2021-10-23 03:04:32,-9.0122,-35.2225,77.02,86,11,6.64
205,Teahupoo,PF,2021-10-23 03:09:00,-17.8333,-149.2667,67.96,86,80,32.57
206,Port Hardy,CA,2021-10-23 03:09:01,50.6996,-127.4199,47.37,83,100,10.36
207,Belmonte,BR,2021-10-23 03:09:01,-15.8631,-38.8828,75.7,92,99,9.42
208,Hailar,CN,2021-10-23 03:09:02,49.2,119.7,44.67,41,0,10.65
209,Bandarbeyla,SO,2021-10-23 03:09:02,9.4942,50.8122,77.34,79,62,3.74
210,Pangoa,PE,2021-10-23 03:09:02,-12.1167,-73.0,72.59,83,99,2.98
211,Chokurdakh,RU,2021-10-23 03:04:35,70.6333,147.9167,-11.54,99,97,2.77
212,Kodinsk,RU,2021-10-23 03:09:03,58.6881,99.1844,40.32,69,100,10.04
213,Taylor,US,2021-10-23 03:05:53,32.3001,-99.8337,73.13,71,1,3.0
214,Kuloy,RU,2021-10-23 03:09:04,61.0305,42.4925,37.72,93,100,12.01
215,Tres Arroyos,AR,2021-10-23 03:04:37,-38.3739,-60.2798,46.47,95,97,3.65
216,Tucuma,BR,2021-10-23 03:09:04,-0.1833,-50.05,77.58,87,98,5.91
217,Lagoa,PT,2021-10-23 03:09:04,39.05,-27.9833,67.51,78,47,15.97
218,Necochea,AR,2021-10-23 03:09:05,-38.5473,-58.7368,52.03,91,100,3.2
219,Mahebourg,MU,2021-10-23 03:09:05,-20.4081,57.7,74.25,81,40,15.1
220,Namatanai,PG,2021-10-23 03:09:00,-3.6667,152.4333,84.04,67,92,9.6
221,High Level,CA,2021-10-23 03:04:38,58.5169,-117.136,43.25,52,100,9.17
222,Luderitz,NA,2021-10-23 03:07:30,-26.6481,15.1594,54.64,86,0,8.03
223,Jumla,NP,2021-10-23 03:09:06,29.2747,82.1838,57.43,71,6,2.71
224,De Aar,ZA,2021-10-23 03:04:40,-30.6497,24.0123,53.06,52,54,12.88
225,Flin Flon,CA,2021-10-23 03:04:40,54.7682,-101.865,34.05,77,100,7.87
226,Flinders,AU,2021-10-23 03:09:06,-34.5833,150.8552,84.79,64,66,7.0
227,Rawson,AR,2021-10-23 03:05:58,-43.3002,-65.1023,55.06,44,34,25.14
228,Saint George,US,2021-10-23 03:05:52,37.1041,-113.5841,69.35,28,1,1.01
229,Olkhovka,RU,2021-10-23 03:09:07,53.2115,60.6069,42.48,79,90,17.45
230,Pavlodar,KZ,2021-10-23 03:04:42,52.3,76.95,40.8,75,90,20.13
231,Shirokiy,RU,2021-10-23 03:09:08,49.758,129.523,47.95,51,6,10.51
232,Marzuq,YE,2021-10-23 03:04:43,14.4,46.4667,69.55,60,7,2.86
233,Heze,CN,2021-10-23 03:09:08,35.2431,115.4411,60.66,45,77,6.38
234,Pompeu,BR,2021-10-23 03:04:44,-19.2244,-44.9353,67.26,70,3,3.44
235,Hoctun,MX,2021-10-23 03:09:09,20.8667,-89.2,80.56,97,100,4.32
236,Guilin,CN,2021-10-23 03:05:56,25.2819,110.2864,62.94,56,80,7.9
